timestamp,location_id,record_type,event_status
2024-01-02 00:06,31,1,0
2024-01-02 00:16,256,1,0
2024-01-02 00:20,286,1,0
2024-01-02 00:26,263,1,0
2024-01-02 00:27,25,1,0
2024-01-02 00:29,27,1,0
2024-01-02 00:44,187,1,0
2024-01-02 00:54,136,1,0
2024-01-02 00:55,168,1,0
2024-01-02 00:55,285,1,0
2024-01-02 00:56,91,1,0
2024-01-02 01:02,40,1,0
2024-01-02 01:15,255,1,0
2024-01-02 01:21,172,1,0
2024-01-02 01:23,206,1,0
2024-01-02 01:30,140,1,0
2024-01-02 01:31,124,1,0
2024-01-02 01:33,37,1,4
2024-01-02 01:35,2,1,0
2024-01-02 01:36,170,1,0
2024-01-02 01:38,70,1,0
2024-01-02 01:38,100,1,0
2024-01-02 01:42,73,1,0
2024-01-02 01:47,182,1,0
2024-01-02 01:47,267,1,0
2024-01-02 01:57,107,1,0
2024-01-02 02:06,83,1,0
2024-01-02 02:12,99,1,0
2024-01-02 02:13,226,1,0
2024-01-02 02:17,214,1,0
2024-01-02 02:22,55,1,0
2024-01-02 02:25,244,1,0
2024-01-02 02:26,7,1,0
2024-01-02 02:35,185,1,0
2024-01-02 02:38,109,1,0
2024-01-02 02:41,125,1,0
2024-01-02 02:48,8,1,4
2024-01-02 02:48,192,1,0
2024-01-02 02:49,15,1,0
2024-01-02 02:53,81,1,0
2024-01-02 02:59,197,1,0
2024-01-02 03:15,20,1,0
2024-01-02 03:19,152,1,0
2024-01-02 03:21,145,1,0
2024-01-02 03:23,72,1,0
2024-01-02 03:26,116,1,0
2024-01-02 03:38,265,1,0
2024-01-02 03:50,264,1,0
2024-01-02 03:51,212,1,0
2024-01-02 03:52,228,1,0
2024-01-02 03:57,95,1,0
2024-01-02 03:59,128,1,0
2024-01-02 04:01,166,1,0
2024-01-02 04:03,195,1,0
2024-01-02 04:08,118,1,0
2024-01-02 04:08,284,1,0
2024-01-02 04:09,24,1,0
2024-01-02 04:18,275,1,0
2024-01-02 04:19,120,1,0
2024-01-02 04:20,61,1,0
2024-01-02 04:46,45,1,0
2024-01-02 04:47,75,1,0
2024-01-02 04:51,292,1,0
2024-01-02 04:55,266,1,0
2024-01-02 04:58,200,1,0
2024-01-02 05:01,59,1,0
2024-01-02 05:01,132,1,0
2024-01-02 05:14,80,1,0
2024-01-02 05:15,113,1,0
2024-01-02 05:17,258,1,0
2024-01-02 05:18,282,1,0
2024-01-02 05:21,153,1,0
2024-01-02 05:22,246,1,0
2024-01-02 05:28,154,1,0
2024-01-02 05:30,28,1,0
2024-01-02 05:41,35,1,0
2024-01-02 05:43,148,1,0
2024-01-02 05:46,11,1,4
2024-01-02 05:46,180,1,0
2024-01-02 05:56,164,1,0
2024-01-02 06:02,163,1,0
2024-01-02 06:04,251,1,0
2024-01-02 06:07,14,1,0
2024-01-02 06:15,119,1,0
2024-01-02 06:30,74,1,0
2024-01-02 06:37,257,1,0
2024-01-02 06:37,277,1,0
2024-01-02 06:57,85,1,0
2024-01-02 07:07,97,1,0
2024-01-02 07:09,298,1,4
2024-01-02 07:10,32,1,0
2024-01-02 07:11,9,1,0
2024-01-02 07:11,38,1,0
2024-01-02 07:15,23,1,0
2024-01-02 07:20,225,1,0
2024-01-02 07:30,13,1,0
2024-01-02 07:30,44,1,0
2024-01-02 07:32,127,1,0
2024-01-02 07:39,156,1,0
2024-01-02 07:44,273,1,0
2024-01-02 07:56,150,1,0
2024-01-02 07:58,254,1,0
2024-01-02 08:02,144,1,0
2024-01-02 08:02,259,1,0
2024-01-02 08:04,241,1,0
2024-01-02 08:12,202,1,0
2024-01-02 08:23,84,1,0
2024-01-02 08:28,221,1,4
2024-01-02 08:36,62,1,0
2024-01-02 08:41,289,1,0
2024-01-02 08:55,231,1,0
2024-01-02 09:03,165,1,0
2024-01-02 09:03,167,1,0
2024-01-02 09:07,186,1,0
2024-01-02 09:08,220,1,0
2024-01-02 09:20,26,1,0
2024-01-02 09:24,288,1,0
2024-01-02 09:30,248,1,0
2024-01-02 09:40,193,1,0
2024-01-02 09:51,92,1,0
2024-01-02 10:03,76,1,0
2024-01-02 10:06,87,1,0
2024-01-02 10:12,238,1,0
2024-01-02 10:27,198,1,0
2024-01-02 10:29,270,1,0
2024-01-02 10:35,209,1,0
2024-01-02 10:41,161,1,4
2024-01-02 10:42,111,1,4
2024-01-02 10:53,194,1,0
2024-01-02 10:58,10,1,0
2024-01-02 11:01,114,1,0
2024-01-02 11:13,117,1,0
2024-01-02 11:20,66,1,4
2024-01-02 11:25,130,1,0
2024-01-02 11:27,293,1,0
2024-01-02 11:30,279,1,0
2024-01-02 11:33,276,1,0
2024-01-02 11:47,46,1,0
2024-01-02 11:51,123,1,0
